"id","name","url","kind","health","functionalClass","resultTiles","importState","package","coverage","validation"
"1","腾讯漫画（正版）","https://m.ac.qq.com","manga","可用","BrowseWorks","15","active_verified","eu.kanade.tachiyomi.extension.zh.tencentcomics","exact","device_verified"
"2","再漫画","https://manhua.zaimanhua.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.zaimanhua","exact","device_verified"
"3","漫漫漫画（正版）","https://m.manmanapp.com","manga","可用","BrowseWorks","10","implementation_required",,,"not_implemented"
"4","漫漫漫画（PC）","https://www.manmanapp.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"7","搜漫","https://www.hisoman.com","manga","可用","BrowseWorks","10","implementation_required",,,"not_implemented"
"9","733动漫","https://73mh.app","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"10","布卡漫画","https://www.bukamh.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"11","古风漫画","https://www.gfmh.app","manga","可用","BrowseWorks","16","active_degraded","eu.kanade.tachiyomi.extension.zh.gufengmh","exact","device_degraded"
"12","追漫画","http://www.ycymh.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.ycymh","exact","device_verified"
"13","KOLA漫画","https://www.kolamanga.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"14","OH漫画","https://www.ohmanhua.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"15","漫蛙","https://manwaqh.cc","manga","可用","BrowseWorks","15","active_verified","eu.kanade.tachiyomi.extension.zh.manwashizuku","family","device_verified"
"16","漫蛙防走失","https://manwaqg.cc","manga","可用","SearchWorks","25","active_verified","eu.kanade.tachiyomi.extension.zh.manwashizuku","family","device_verified"
"17","漫蛙AI","https://manwa.me","manga","可用","SearchWorks","25","active_verified","eu.kanade.tachiyomi.extension.zh.manwashizuku","family","device_verified"
"18","漫画客","http://yumanhua.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"21","野蛮漫画","https://yemancomic.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"22","漫神漫画","https://m.mhkami.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"23","YYDS漫画","https://www.yydsmh.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
"31","非麻瓜漫画","http://cqxzyedu.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented"
