"id","name","url","kind","health","functionalClass","resultTiles","importState","package","coverage","validation","limitation"
"1","腾讯漫画（正版）","https://m.ac.qq.com","manga","可用","BrowseWorks","15","active_verified","eu.kanade.tachiyomi.extension.zh.tencentcomics","exact","device_verified",
"2","再漫画","https://manhua.zaimanhua.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.zaimanhua","exact","device_verified",
"3","漫漫漫画（正版）","https://m.manmanapp.com","manga","可用","BrowseWorks","10","implementation_required",,,"not_implemented",
"4","漫漫漫画（PC）","https://www.manmanapp.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"7","搜漫","https://www.hisoman.com","manga","可用","BrowseWorks","10","active_verified","eu.kanade.tachiyomi.extension.zh.soman","readable_backend","device_verified","filters_out_paid_and_unreadable_external_routes"
"9","极速漫画","http://m.1kkk.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"10","极速漫画（PC）","http://www.1kkk.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"11","漫画人","http://www.manhuaren.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"12","图库漫画","https://www.tuku.cc","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"13","733动漫","https://73mh.app","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"14","布卡漫画","https://www.bukamh.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"15","古风漫画","https://www.gfmh.app","manga","可用","BrowseWorks","16","active_degraded","eu.kanade.tachiyomi.extension.zh.gufengmh","exact","device_degraded",
"16","追漫画","http://www.ycymh.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.ycymh","scheme_successor","device_verified",
"17","KOLA漫画","https://www.kolamanga.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"18","OH漫画","https://www.ohmanhua.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"19","漫蛙","https://manwaqj.cc","manga","可用","BrowseWorks","15","active_verified","eu.kanade.tachiyomi.extension.zh.manwashizuku","family","device_verified",
"20","漫蛙防走失","https://manwaqg.cc","manga","可用","SearchWorks","25","active_verified","eu.kanade.tachiyomi.extension.zh.manwashizuku","family","device_verified",
"21","漫蛙AI","https://manwa.me","manga","可用","SearchWorks","25","active_verified","eu.kanade.tachiyomi.extension.zh.manwashizuku","family","device_verified",
