"Index","Name","Url","FinalGrade","FunctionalClass","ResultTiles","TestedCategory","NetworkClass1","Status1","NetworkClass2","Status2","FinalUrl","Error"
"1","腾讯漫画（正版）","https://m.ac.qq.com","可用","BrowseWorks","15","条漫","Reachable","200","Reachable","200","https://m.ac.qq.com/",""
"2","再漫画","https://manhua.zaimanhua.com","可用","BrowseWorks","20","最新更新","Reachable","200","Reachable","200","https://manhua.zaimanhua.com/",""
"3","漫漫漫画（正版）","https://m.manmanapp.com","可用","BrowseWorks","10","恋爱","Reachable","200","Reachable","200","https://m.manmanapp.com/",""
"4","漫漫漫画（PC）","https://www.manmanapp.com","可用","BrowseWorks","20","全部","Reachable","200","Reachable","200","https://www.manmanapp.com/",""
"5","爱奇艺漫画（正版）","https://www.iqiyi.com/manhua","部分可用","NoResultsOrError","0","最新更新","Reachable","302","Reachable","302","https://www.iqiyi.com/manhua",""
"6","Toptoon（正版）","https://www.toptoon.net","部分可用","NoResultsOrError","0","免费/特价","Reachable","200","Reachable","200","https://www.toptoon.net/",""
"7","搜漫","https://www.hisoman.com","可用","BrowseWorks","10","少女","Reachable","200","Reachable","200","https://www.hisoman.com/",""
"8","免费漫画全集（APP）","https://c.myshanxun.com","失效","NotTestedNoCategory","0","","Dead","","Dead","","https://c.myshanxun.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 12 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 12 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"9","极速漫画","http://m.1kkk.com","可用","BrowseWorks","20","全部","Reachable","200","Reachable","200","https://m.1kkk.com/",""
"10","极速漫画（PC）","http://www.1kkk.com","可用","BrowseWorks","20","全部","Reachable","200","Reachable","200","https://m.1kkk.com/",""
"11","漫画人","http://www.manhuaren.com","可用","BrowseWorks","20","热门","Reachable","200","Reachable","200","https://www.manhuaren.com/",""
"12","图库漫画","https://www.tuku.cc","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://www.tuku.cc/",""
"13","733动漫","https://73mh.app","可用","BrowseWorks","20","总点击","Blocked","","Blocked","","https://73mh.app","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""An error occurred while sending the request.""
 ---> System.Net.Http.HttpRequestException: An error occurred while sending the request.
 ---> System.Net.Http.HttpIOException: The response ended prematurely. (ResponseEnded)
   at System.Net.Http.HttpConnection.SendAsync(HttpRequestMessage request, Boolean async, CancellationToken cancellationToken)
   --- End of inner exception stack tr"
"14","布卡漫画","https://www.bukamh.com","可用","BrowseWorks","20","最新","Reachable","200","Reachable","200","https://www.bukamh.com/",""
"15","古风漫画","https://www.gfmh.app","可用","BrowseWorks","16","全部","Reachable","200","Reachable","200","https://www.gfmh.app/",""
"16","追漫画","http://www.ycymh.com","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://www.ycymh.com/",""
"17","漫蛙","https://manwaqj.cc","可用","BrowseWorks","15","更新","Dead","404","Dead","404","https://manwaqj.cc/",""
"18","漫蛙防走失","https://manwaqg.cc","可用","SearchWorks","25","真理面具","Dead","404","Dead","404","https://manwaqg.cc/",""
"19","漫蛙AI","https://manwa.me","可用","SearchWorks","25","真理面具","Blocked","403","Blocked","403","https://manwa.me/",""
"20","喵趣漫画","https://www.miaoqumh.org","可用","BrowseWorks","20","首页","Blocked","200","Blocked","200","https://www.miaoqumh.org/",""
"21","漫画之家","http://www.mhzj54.com","部分可用","NoResultsOrError","0","热血","Reachable","200","Reachable","200","http://www.mhzj54.com/",""
"22","七夕漫画","https://www.qiximanhua.com","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://www.qiximanhua.com/",""
"23","漫画星球","https://www.comichare.com","失效","SkippedNetwork","0","主页","Dead","","Dead","","https://www.comichare.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"24","如漫画","https://m.rumanhua2.com","失效","SkippedNetwork","0","精品榜","Dead","","Dead","","https://m.rumanhua2.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.Security.Authentication.AuthenticationException: The remote certificate is invalid according to the validation procedure: RemoteCertificateNameMismatch
   at System.Net.Security.SslStream.CompleteHa"
